iter	Passed	Remaining
0	2	2814
1	5	2746
2	8	2703
3	11	2767
4	14	2798
5	16	2802
6	19	2832
7	22	2828
8	25	2811
9	28	2806
10	30	2786
11	33	2752
12	36	2741
13	38	2733
14	41	2721
15	44	2719
16	46	2706
17	49	2700
18	52	2695
19	54	2684
20	57	2666
21	59	2660
22	62	2651
23	65	2646
24	67	2639
25	70	2637
26	73	2634
27	75	2626
28	78	2625
29	81	2623
30	83	2617
31	86	2610
32	88	2606
33	92	2614
34	94	2614
35	97	2612
36	100	2609
37	102	2602
38	105	2596
39	107	2591
40	110	2590
41	113	2587
42	116	2584
43	118	2578
44	121	2579
45	124	2576
46	126	2574
47	129	2571
48	132	2563
49	134	2559
50	137	2556
51	139	2552
52	142	2551
53	145	2553
54	148	2552
55	151	2552
56	154	2549
57	156	2547
58	159	2546
59	162	2544
60	165	2540
61	167	2538
62	170	2535
63	173	2534
64	176	2535
65	178	2531
66	181	2530
67	184	2528
68	187	2524
69	189	2522
70	193	2529
71	195	2524
72	198	2522
73	201	2520
74	204	2517
75	206	2513
76	209	2510
77	212	2508
78	215	2506
79	217	2504
80	220	2503
81	223	2501
82	226	2499
83	228	2495
84	231	2492
85	234	2490
86	236	2486
87	239	2484
88	242	2482
89	245	2480
90	248	2477
91	250	2475
92	253	2473
93	256	2472
94	259	2469
95	261	2466
96	264	2462
97	267	2459
98	269	2455
99	272	2451
100	275	2449
101	277	2447
102	280	2443
103	283	2441
104	286	2438
105	288	2436
106	291	2436
107	294	2434
108	297	2431
109	300	2428
110	302	2425
111	305	2422
112	308	2421
113	311	2419
114	314	2416
115	316	2413
116	319	2410
117	321	2406
118	324	2404
119	327	2401
120	330	2398
121	333	2396
122	335	2393
123	338	2389
124	341	2387
125	344	2386
126	346	2383
127	349	2382
128	352	2379
129	355	2376
130	358	2374
131	360	2371
132	363	2368
133	366	2365
134	368	2362
135	371	2359
136	374	2357
137	376	2354
138	379	2352
139	382	2350
140	385	2347
141	387	2344
142	390	2341
143	393	2338
144	396	2335
145	398	2333
146	401	2330
147	404	2326
148	406	2324
149	409	2322
150	412	2320
151	415	2318
152	418	2316
153	421	2313
154	423	2311
155	426	2308
156	429	2306
157	432	2303
158	435	2300
159	437	2298
160	440	2295
161	443	2293
162	446	2291
163	448	2287
164	451	2284
165	454	2281
166	456	2279
167	459	2277
168	462	2275
169	465	2273
170	468	2271
171	471	2270
172	474	2267
173	477	2265
174	480	2262
175	482	2260
176	485	2258
177	488	2257
178	491	2254
179	494	2251
180	496	2248
181	499	2245
182	502	2242
183	505	2239
184	507	2237
185	510	2234
186	513	2231
187	515	2228
188	518	2225
189	521	2222
190	524	2220
191	527	2217
192	529	2215
193	532	2212
194	535	2209
195	537	2206
196	540	2204
197	543	2201
198	546	2198
199	548	2195
200	551	2193
201	554	2190
202	557	2187
203	559	2184
204	562	2183
205	565	2180
206	568	2177
207	571	2174
208	573	2171
209	576	2169
210	579	2166
211	582	2164
212	584	2161
213	587	2158
214	590	2155
215	592	2151
216	595	2149
217	598	2146
218	601	2143
219	603	2141
220	606	2139
221	609	2136
222	612	2133
223	615	2132
224	618	2129
225	620	2126
226	623	2123
227	626	2120
228	628	2117
229	631	2114
230	634	2111
231	636	2108
232	639	2106
233	642	2103
234	645	2100
